Data Recorder CSV-File Format
PC Time (yyyy:mm:dd/h m s ms);2020/2/5 13h45m47s
Last Sample (d h m s ms);2h4m39s796ms
Sampling Rate (h m s ms);20ms
Minimum Sampling Time (h m s ms);0ms
Average Sampling Time (h m s ms);31ms
Maximum Sampling Time (h m s ms);63ms
Channel(s);8
Description;TYPE;Color;Width;0-Axis; Lowest Value; Highest Value; Address
h1_line_speed;REAL;0;0;5;0,;286,9656372;DLD0
h1_product_len;REAL;255;0;30;14,8419323;591,5266724;DLD2
h1_tension_1_avg;REAL;65280;0;55;526,6845093;561,9533691;DDT1038
h1_on_baord_ten_raw;REAL;16711680;0;80;0,5568000078;0,6047999859;DDT1104
h1_wrap_ten;REAL;8421504;0;105;-4,879947186;0,4807486832;DDT1130
h1_std_dev;REAL;8750591;0;130;1,606152207e-002;0,3629674613;DDT1132
h1_tape_ten_vdc;REAL;26367;0;155;0,;0,;DDT1080
h1_flyer_rpm;REAL;32768;0;180;0,;459,1450195;DDT1066
Number of Samples;239400

Time;h1_line_speed;h1_product_len;h1_tension_1_avg;h1_on_baord_ten_raw;h1_wrap_ten;h1_std_dev;h1_tape_ten_vdc;h1_flyer_rpm;

0:0:0:0;57,52884674;14,8419323;540,8379517;0,5735999942;-3,10403347;0,1910122782;0,;92,04615784;
0:0:0:31;57,52884674;14,8419323;541,0411987;0,5744000077;-3,104598045;0,1905465722;0,;92,04615784;
0:0:0:78;57,52884674;14,8419323;541,2133179;0,5751999617;-3,103092194;0,1920596808;0,;92,04615784;
0:0:0:109;57,52884674;14,84337711;541,3591919;0,5751999617;-3,100832462;0,193874523;0,;92,04615784;
0:0:0:140;57,52884674;14,84337711;541,5631104;0,5759999752;-3,098007679;0,196263209;0,;92,04615784;
0:0:0:171;57,52884674;14,84337711;541,8300171;0,5759999752;-3,094240904;0,1991044581;0,;92,04615784;
0:0:0:203;57,52884674;14,84505272;542,1621094;0,5759999752;-3,088402987;0,2016283721;0,;92,04615784;
0:0:0:234;57,52884674;14,84505272;542,4031372;0,5751999617;-3,083129644;0,2027922422;0,;92,04615784;
0:0:0:265;57,52884674;14,84505272;542,6428223;0,5751999617;-3,078610182;0,2026281059;0,;92,04615784;
0:0:0:296;57,52884674;14,84672832;542,8522949;0,5744000077;-3,074655294;0,2017439753;0,;92,04615784;
0:0:0:328;57,52884674;14,84672832;543,1308594;0,5735999942;-3,071077347;0,200987041;0,;92,04615784;
0:0:0:359;57,52884674;14,84672832;543,3126831;0,5735999942;-3,068817616;0,2002509832;0,;92,04615784;
0:0:0:390;57,52884674;14,84817314;543,463623;0,5727999806;-3,067687988;0,199872762;0,;92,04615784;
0:0:0:421;57,52884674;14,84817314;543,6410522;0,5719999671;-3,06806469;0,1999106109;0,;92,04615784;
0:0:0:453;57,52884674;14,84817314;543,7492065;0,5712000132;-3,070136309;0,2002416104;0,;92,04615784;
